date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SoybeanOil_N0,SoybeanOil_N1,SoybeanOil_N2,SoybeanOil_N3,SoybeanOil_N4,SoybeanOil_N5,SoybeanOil_N6
2022-03-22,O,2022-03-21 20:00:00,2022-03-22 14:20:00,2022-03-22 14:14:00,2022-03-22 14:15:00,22,,202205,202207,202212,202301,202303,202305
2022-03-23,O,2022-03-22 20:00:00,2022-03-23 14:20:00,2022-03-23 14:14:00,2022-03-23 14:15:00,21,,202205,202207,202212,202301,202303,202305
2022-03-24,O,2022-03-23 20:00:00,2022-03-24 14:20:00,2022-03-24 14:14:00,2022-03-24 14:15:00,20,,202205,202207,202212,202301,202303,202305
2022-03-25,O,2022-03-24 20:00:00,2022-03-25 14:20:00,2022-03-25 14:14:00,2022-03-25 14:15:00,19,,202205,202207,202212,202301,202303,202305
2022-03-28,O,2022-03-27 20:00:00,2022-03-28 14:20:00,2022-03-28 14:14:00,2022-03-28 14:15:00,18,,202205,202207,202212,202301,202303,202305
2022-03-29,O,2022-03-28 20:00:00,2022-03-29 14:20:00,2022-03-29 14:14:00,2022-03-29 14:15:00,17,,202205,202207,202212,202301,202303,202305
2022-03-30,O,2022-03-29 20:00:00,2022-03-30 14:20:00,2022-03-30 14:14:00,2022-03-30 14:15:00,16,,202205,202207,202212,202301,202303,202305
2022-03-31,O,2022-03-30 20:00:00,2022-03-31 14:20:00,2022-03-31 14:14:00,2022-03-31 14:15:00,15,,202205,202207,202212,202301,202303,202305
2022-04-01,O,2022-03-31 20:00:00,2022-04-01 14:20:00,2022-04-01 14:14:00,2022-04-01 14:15:00,14,,202205,202207,202212,202301,202303,202305
2022-04-04,O,2022-04-03 20:00:00,2022-04-04 14:20:00,2022-04-04 14:14:00,2022-04-04 14:15:00,13,,202205,202207,202212,202301,202303,202305
2022-04-05,O,2022-04-04 20:00:00,2022-04-05 14:20:00,2022-04-05 14:14:00,2022-04-05 14:15:00,12,,202205,202207,202212,202301,202303,202305
2022-04-06,O,2022-04-05 20:00:00,2022-04-06 14:20:00,2022-04-06 14:14:00,2022-04-06 14:15:00,11,,202205,202207,202212,202301,202303,202305
2022-04-07,O,2022-04-06 20:00:00,2022-04-07 14:20:00,2022-04-07 14:14:00,2022-04-07 14:15:00,10,,202205,202207,202212,202301,202303,202305
2022-04-08,O,2022-04-07 20:00:00,2022-04-08 14:20:00,2022-04-08 14:14:00,2022-04-08 14:15:00,9,,202205,202207,202212,202301,202303,202305
2022-04-11,O,2022-04-10 20:00:00,2022-04-11 14:20:00,2022-04-11 14:14:00,2022-04-11 14:15:00,8,,202205,202207,202212,202301,202303,202305
2022-04-12,O,2022-04-11 20:00:00,2022-04-12 14:20:00,2022-04-12 14:14:00,2022-04-12 14:15:00,7,,202205,202207,202212,202301,202303,202305
2022-04-13,O,2022-04-12 20:00:00,2022-04-13 14:20:00,2022-04-13 14:14:00,2022-04-13 14:15:00,6,,202205,202207,202212,202301,202303,202305
2022-04-14,O,2022-04-13 20:00:00,2022-04-14 14:20:00,2022-04-14 14:14:00,2022-04-14 14:15:00,5,,202205,202207,202212,202301,202303,202305
2022-04-15,X,,,,,,,,,,,,
2022-04-18,O,2022-04-17 20:00:00,2022-04-18 14:20:00,2022-04-18 14:14:00,2022-04-18 14:15:00,4,,202205,202207,202212,202301,202303,202305
2022-04-19,O,2022-04-18 20:00:00,2022-04-19 14:20:00,2022-04-19 14:14:00,2022-04-19 14:15:00,3,,202205,202207,202212,202301,202303,202305
2022-04-20,O,2022-04-19 20:00:00,2022-04-20 14:20:00,2022-04-20 14:14:00,2022-04-20 14:15:00,2,,202205,202207,202212,202301,202303,202305
2022-04-21,O,2022-04-20 20:00:00,2022-04-21 14:20:00,2022-04-21 14:14:00,2022-04-21 14:15:00,1,,202205,202207,202212,202301,202303,202305
2022-04-22,O,2022-04-21 20:00:00,2022-04-22 14:20:00,2022-04-22 14:14:00,2022-04-22 14:15:00,0,,202205,202207,202212,202301,202303,202305
2022-04-25,O,2022-04-24 20:00:00,2022-04-25 14:20:00,2022-04-25 14:14:00,2022-04-25 14:15:00,41,202205,202207,202212,202301,202303,202305,202307
2022-04-26,O,2022-04-25 20:00:00,2022-04-26 14:20:00,2022-04-26 14:14:00,2022-04-26 14:15:00,40,202205,202207,202212,202301,202303,202305,202307
