date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Coffee_N0,Coffee_N1,Coffee_N2,Coffee_N3,Coffee_N4,Coffee_N5,Coffee_N6
2022-10-20,O,2022-10-20 04:15:00,2022-10-20 13:30:00,2022-10-20 12:23:00,2022-10-20 12:25:00,17,,202212,202303,202305,202307,202309,202312
2022-10-21,O,2022-10-21 04:15:00,2022-10-21 13:30:00,2022-10-21 12:23:00,2022-10-21 12:25:00,16,,202212,202303,202305,202307,202309,202312
2022-10-24,O,2022-10-24 04:15:00,2022-10-24 13:30:00,2022-10-24 12:23:00,2022-10-24 12:25:00,15,,202212,202303,202305,202307,202309,202312
2022-10-25,O,2022-10-25 04:15:00,2022-10-25 13:30:00,2022-10-25 12:23:00,2022-10-25 12:25:00,14,,202212,202303,202305,202307,202309,202312
2022-10-26,O,2022-10-26 04:15:00,2022-10-26 13:30:00,2022-10-26 12:23:00,2022-10-26 12:25:00,13,,202212,202303,202305,202307,202309,202312
2022-10-27,O,2022-10-27 04:15:00,2022-10-27 13:30:00,2022-10-27 12:23:00,2022-10-27 12:25:00,12,,202212,202303,202305,202307,202309,202312
2022-10-28,O,2022-10-28 04:15:00,2022-10-28 13:30:00,2022-10-28 12:23:00,2022-10-28 12:25:00,11,,202212,202303,202305,202307,202309,202312
2022-10-31,O,2022-10-31 04:15:00,2022-10-31 13:30:00,2022-10-31 13:23:00,2022-10-31 13:25:00,10,,202212,202303,202305,202307,202309,202312
2022-11-01,O,2022-11-01 04:15:00,2022-11-01 13:30:00,2022-11-01 13:23:00,2022-11-01 13:25:00,9,,202212,202303,202305,202307,202309,202312
2022-11-02,O,2022-11-02 04:15:00,2022-11-02 13:30:00,2022-11-02 13:23:00,2022-11-02 13:25:00,8,,202212,202303,202305,202307,202309,202312
2022-11-03,O,2022-11-03 04:15:00,2022-11-03 13:30:00,2022-11-03 13:23:00,2022-11-03 13:25:00,7,,202212,202303,202305,202307,202309,202312
2022-11-04,O,2022-11-04 04:15:00,2022-11-04 13:30:00,2022-11-04 13:23:00,2022-11-04 13:25:00,6,,202212,202303,202305,202307,202309,202312
2022-11-07,O,2022-11-07 04:15:00,2022-11-07 13:30:00,2022-11-07 12:23:00,2022-11-07 12:25:00,5,,202212,202303,202305,202307,202309,202312
2022-11-08,O,2022-11-08 04:15:00,2022-11-08 13:30:00,2022-11-08 12:23:00,2022-11-08 12:25:00,4,,202212,202303,202305,202307,202309,202312
2022-11-09,O,2022-11-09 04:15:00,2022-11-09 13:30:00,2022-11-09 12:23:00,2022-11-09 12:25:00,3,,202212,202303,202305,202307,202309,202312
2022-11-10,O,2022-11-10 04:15:00,2022-11-10 13:30:00,2022-11-10 12:23:00,2022-11-10 12:25:00,2,,202212,202303,202305,202307,202309,202312
2022-11-11,O,2022-11-11 04:15:00,2022-11-11 13:30:00,2022-11-11 12:23:00,2022-11-11 12:25:00,1,,202212,202303,202305,202307,202309,202312
2022-11-14,O,2022-11-14 04:15:00,2022-11-14 13:30:00,2022-11-14 12:23:00,2022-11-14 12:25:00,0,,202212,202303,202305,202307,202309,202312
2022-11-15,O,2022-11-15 04:15:00,2022-11-15 13:30:00,2022-11-15 12:23:00,2022-11-15 12:25:00,59,202212,202303,202305,202307,202309,202312,202403
2022-11-16,O,2022-11-16 04:15:00,2022-11-16 13:30:00,2022-11-16 12:23:00,2022-11-16 12:25:00,58,202212,202303,202305,202307,202309,202312,202403
2022-11-17,O,2022-11-17 04:15:00,2022-11-17 13:30:00,2022-11-17 12:23:00,2022-11-17 12:25:00,57,202212,202303,202305,202307,202309,202312,202403
2022-11-18,O,2022-11-18 04:15:00,2022-11-18 13:30:00,2022-11-18 12:23:00,2022-11-18 12:25:00,56,202212,202303,202305,202307,202309,202312,202403
2022-11-21,O,2022-11-21 04:15:00,2022-11-21 13:30:00,2022-11-21 12:23:00,2022-11-21 12:25:00,55,202212,202303,202305,202307,202309,202312,202403
2022-11-22,O,2022-11-22 04:15:00,2022-11-22 13:30:00,2022-11-22 12:23:00,2022-11-22 12:25:00,54,202212,202303,202305,202307,202309,202312,202403
2022-11-23,O,2022-11-23 04:15:00,2022-11-23 13:30:00,2022-11-23 12:23:00,2022-11-23 12:25:00,53,202212,202303,202305,202307,202309,202312,202403
2022-11-24,X,,,,,,,,,,,,
2022-11-25,O,2022-11-25 04:15:00,2022-11-25 13:30:00,2022-11-25 12:23:00,2022-11-25 12:25:00,52,202212,202303,202305,202307,202309,202312,202403
2022-11-28,O,2022-11-28 04:15:00,2022-11-28 13:30:00,2022-11-28 12:23:00,2022-11-28 12:25:00,51,202212,202303,202305,202307,202309,202312,202403
2022-11-29,O,2022-11-29 04:15:00,2022-11-29 13:30:00,2022-11-29 12:23:00,2022-11-29 12:25:00,50,202212,202303,202305,202307,202309,202312,202403
2022-11-30,O,2022-11-30 04:15:00,2022-11-30 13:30:00,2022-11-30 12:23:00,2022-11-30 12:25:00,49,202212,202303,202305,202307,202309,202312,202403
2022-12-01,O,2022-12-01 04:15:00,2022-12-01 13:30:00,2022-12-01 12:23:00,2022-12-01 12:25:00,48,202212,202303,202305,202307,202309,202312,202403
