trade_date,AUD,BRL,CAD,CHF,CLP,CNH,CNY,COP,CZK,DKK,EUR,GBP,HKD,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RUB,SAR,SEK,SGD,THB,TRY,TWD,ZAR
2007-08-08,0.8634,0.5308,0.9538,0.8362,,,,,0.04893,0.1854,1.3798,2.0363,0.12777,,,,,0.015877,0.008353,,0.09155,,0.1738,0.7689,,,0.03931,,0.149168,0.6621,,,,0.142684
2007-08-09,0.8514,0.5191,0.9466,0.8356,,,,,0.04867,0.1839,1.3685,2.0237,0.12783,,,,,0.01549,0.008454,,0.09091,,0.1721,0.7546,,,0.0393,,0.147642,0.6585,,,,0.139592
2007-08-10,0.844,0.5124,0.9506,0.8354,,,,,0.048807,0.184,1.3697,2.0229,0.12789,,,,,0.015254,0.008452,,0.09079,,0.1716,0.7457,,,0.03928,,0.147696,0.657,,,,0.138937
2007-08-13,0.842,0.5149,0.9507,0.8295,,,,,0.048621,0.183,1.3619,2.0136,0.12781,,,,,0.015278,0.008448,,0.09077,,0.1705,0.7395,,,0.03917,,0.146103,0.6587,,,,0.139041
2007-08-14,0.8348,0.5037,0.9364,0.8259,,,,,0.048418,0.182,1.3542,1.9971,0.12783,,,,,0.015117,0.008488,,0.09029,,0.1696,0.7275,,,0.03907,,0.145109,0.6541,,,,0.136286
2007-08-15,0.8229,0.4927,0.9279,0.8204,,,,,0.048304,0.1809,1.3461,1.9936,0.1278,,,,,0.014924,0.008553,,0.08967,,0.1694,0.716,,,0.03892,,0.143691,0.6524,,,,0.134962
2007-08-16,0.7869,0.4778,0.9279,0.8232,,,,,0.048698,0.1802,1.3405,1.9791,0.12793,,,,,0.01447,0.00884,,0.08892,,0.1669,0.6801,,,0.03878,,0.142961,0.6508,,,,0.133047
2007-08-17,0.7929,0.494,0.9401,0.8279,,,,,0.048591,0.1811,1.3475,1.9796,0.12794,,,,,0.014649,0.008772,,0.09016,,0.1681,0.6927,,,0.03877,,0.14434,0.6542,,,,0.135405
2007-08-20,0.8068,0.4928,0.9459,0.829,,,,,0.048929,0.1812,1.3482,1.988,0.12791,,,,,0.014783,0.008707,,0.0899,,0.1689,0.7004,,,0.03879,,0.14408,0.6545,,,,0.135167
2007-08-21,0.8012,0.4916,0.9395,0.829,,,,,0.048685,0.181,1.3468,1.9822,0.12812,,,,,0.01497,0.008739,,0.08981,,0.1678,0.6967,,,0.03862,,0.143405,0.6527,,,,0.135469
2007-08-22,0.8066,0.4973,0.9416,0.8284,,,,,0.048729,0.1819,1.3534,1.9916,0.12807,,,,,0.015301,0.008692,,0.09036,,0.1694,0.7013,,,0.0388,,0.144326,0.6557,,,,0.137623
2007-08-23,0.8174,0.5032,0.9476,0.8286,,,,,0.048969,0.1822,1.3556,2.0029,0.12805,,,,,0.015283,0.008627,,0.09029,,0.1703,0.7112,,,0.03888,,0.144624,0.6574,,,,0.137784
2007-08-24,0.8264,0.5149,0.9499,0.8321,,,,,0.049314,0.1837,1.3672,2.0133,0.12821,,,,,0.01551,0.008604,,0.09071,,0.1721,0.7189,,,0.03888,,0.14601,0.6577,,,,0.139295
