date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,NOK_N0,NOK_N1,NOK_N2,NOK_N3,NOK_N4,NOK_N5,NOK_N6
2020-08-03,O,2020-08-02 18:00:00,2020-08-03 17:00:00,2020-08-03 14:59:30,2020-08-03 15:00:00,24,,202009,202012,202103,202106,202109,202112
2020-08-04,O,2020-08-03 18:00:00,2020-08-04 17:00:00,2020-08-04 14:59:30,2020-08-04 15:00:00,23,,202009,202012,202103,202106,202109,202112
2020-08-05,O,2020-08-04 18:00:00,2020-08-05 17:00:00,2020-08-05 14:59:30,2020-08-05 15:00:00,22,,202009,202012,202103,202106,202109,202112
2020-08-06,O,2020-08-05 18:00:00,2020-08-06 17:00:00,2020-08-06 14:59:30,2020-08-06 15:00:00,21,,202009,202012,202103,202106,202109,202112
2020-08-07,O,2020-08-06 18:00:00,2020-08-07 17:00:00,2020-08-07 14:59:30,2020-08-07 15:00:00,20,,202009,202012,202103,202106,202109,202112
2020-08-10,O,2020-08-09 18:00:00,2020-08-10 17:00:00,2020-08-10 14:59:30,2020-08-10 15:00:00,19,,202009,202012,202103,202106,202109,202112
2020-08-11,O,2020-08-10 18:00:00,2020-08-11 17:00:00,2020-08-11 14:59:30,2020-08-11 15:00:00,18,,202009,202012,202103,202106,202109,202112
2020-08-12,O,2020-08-11 18:00:00,2020-08-12 17:00:00,2020-08-12 14:59:30,2020-08-12 15:00:00,17,,202009,202012,202103,202106,202109,202112
2020-08-13,O,2020-08-12 18:00:00,2020-08-13 17:00:00,2020-08-13 14:59:30,2020-08-13 15:00:00,16,,202009,202012,202103,202106,202109,202112
2020-08-14,O,2020-08-13 18:00:00,2020-08-14 17:00:00,2020-08-14 14:59:30,2020-08-14 15:00:00,15,,202009,202012,202103,202106,202109,202112
2020-08-17,O,2020-08-16 18:00:00,2020-08-17 17:00:00,2020-08-17 14:59:30,2020-08-17 15:00:00,14,,202009,202012,202103,202106,202109,202112
2020-08-18,O,2020-08-17 18:00:00,2020-08-18 17:00:00,2020-08-18 14:59:30,2020-08-18 15:00:00,13,,202009,202012,202103,202106,202109,202112
2020-08-19,O,2020-08-18 18:00:00,2020-08-19 17:00:00,2020-08-19 14:59:30,2020-08-19 15:00:00,12,,202009,202012,202103,202106,202109,202112
2020-08-20,O,2020-08-19 18:00:00,2020-08-20 17:00:00,2020-08-20 14:59:30,2020-08-20 15:00:00,11,,202009,202012,202103,202106,202109,202112
2020-08-21,O,2020-08-20 18:00:00,2020-08-21 17:00:00,2020-08-21 14:59:30,2020-08-21 15:00:00,10,,202009,202012,202103,202106,202109,202112
2020-08-24,O,2020-08-23 18:00:00,2020-08-24 17:00:00,2020-08-24 14:59:30,2020-08-24 15:00:00,9,,202009,202012,202103,202106,202109,202112
2020-08-25,O,2020-08-24 18:00:00,2020-08-25 17:00:00,2020-08-25 14:59:30,2020-08-25 15:00:00,8,,202009,202012,202103,202106,202109,202112
2020-08-26,O,2020-08-25 18:00:00,2020-08-26 17:00:00,2020-08-26 14:59:30,2020-08-26 15:00:00,7,,202009,202012,202103,202106,202109,202112
