date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,LeanHogs_N0,LeanHogs_N1,LeanHogs_N2,LeanHogs_N3,LeanHogs_N4,LeanHogs_N5,LeanHogs_N6
1990-03-05,O,1990-03-05 09:30:00,1990-03-05 14:05:00,1990-03-05 13:59:30,1990-03-05 14:00:00,4,,199004,199006,199007,199008,199010,199012
1990-03-06,O,1990-03-06 09:30:00,1990-03-06 14:05:00,1990-03-06 13:59:30,1990-03-06 14:00:00,3,,199004,199006,199007,199008,199010,199012
1990-03-07,O,1990-03-07 09:30:00,1990-03-07 14:05:00,1990-03-07 13:59:30,1990-03-07 14:00:00,2,,199004,199006,199007,199008,199010,199012
1990-03-08,O,1990-03-08 09:30:00,1990-03-08 14:05:00,1990-03-08 13:59:30,1990-03-08 14:00:00,1,,199004,199006,199007,199008,199010,199012
1990-03-09,O,1990-03-09 09:30:00,1990-03-09 14:05:00,1990-03-09 13:59:30,1990-03-09 14:00:00,0,,199004,199006,199007,199008,199010,199012
1990-03-12,O,1990-03-12 09:30:00,1990-03-12 14:05:00,1990-03-12 13:59:30,1990-03-12 14:00:00,41,199004,199006,199007,199008,199010,199012,199102
1990-03-13,O,1990-03-13 09:30:00,1990-03-13 14:05:00,1990-03-13 13:59:30,1990-03-13 14:00:00,40,199004,199006,199007,199008,199010,199012,199102
1990-03-14,O,1990-03-14 09:30:00,1990-03-14 14:05:00,1990-03-14 13:59:30,1990-03-14 14:00:00,39,199004,199006,199007,199008,199010,199012,199102
1990-03-15,O,1990-03-15 09:30:00,1990-03-15 14:05:00,1990-03-15 13:59:30,1990-03-15 14:00:00,38,199004,199006,199007,199008,199010,199012,199102
1990-03-16,O,1990-03-16 09:30:00,1990-03-16 14:05:00,1990-03-16 13:59:30,1990-03-16 14:00:00,37,199004,199006,199007,199008,199010,199012,199102
1990-03-19,O,1990-03-19 09:30:00,1990-03-19 14:05:00,1990-03-19 13:59:30,1990-03-19 14:00:00,36,199004,199006,199007,199008,199010,199012,199102
1990-03-20,O,1990-03-20 09:30:00,1990-03-20 14:05:00,1990-03-20 13:59:30,1990-03-20 14:00:00,35,199004,199006,199007,199008,199010,199012,199102
1990-03-21,O,1990-03-21 09:30:00,1990-03-21 14:05:00,1990-03-21 13:59:30,1990-03-21 14:00:00,34,199004,199006,199007,199008,199010,199012,199102
1990-03-22,O,1990-03-22 09:30:00,1990-03-22 14:05:00,1990-03-22 13:59:30,1990-03-22 14:00:00,33,199004,199006,199007,199008,199010,199012,199102
1990-03-23,O,1990-03-23 09:30:00,1990-03-23 14:05:00,1990-03-23 13:59:30,1990-03-23 14:00:00,32,199004,199006,199007,199008,199010,199012,199102
1990-03-26,O,1990-03-26 09:30:00,1990-03-26 14:05:00,1990-03-26 13:59:30,1990-03-26 14:00:00,31,199004,199006,199007,199008,199010,199012,199102
1990-03-27,O,1990-03-27 09:30:00,1990-03-27 14:05:00,1990-03-27 13:59:30,1990-03-27 14:00:00,30,199004,199006,199007,199008,199010,199012,199102
1990-03-28,O,1990-03-28 09:30:00,1990-03-28 14:05:00,1990-03-28 13:59:30,1990-03-28 14:00:00,29,199004,199006,199007,199008,199010,199012,199102
1990-03-29,O,1990-03-29 09:30:00,1990-03-29 14:05:00,1990-03-29 13:59:30,1990-03-29 14:00:00,28,199004,199006,199007,199008,199010,199012,199102
1990-03-30,O,1990-03-30 09:30:00,1990-03-30 14:05:00,1990-03-30 13:59:30,1990-03-30 14:00:00,27,199004,199006,199007,199008,199010,199012,199102
1990-04-02,O,1990-04-02 09:30:00,1990-04-02 14:05:00,1990-04-02 13:59:30,1990-04-02 14:00:00,26,199004,199006,199007,199008,199010,199012,199102
1990-04-03,O,1990-04-03 09:30:00,1990-04-03 14:05:00,1990-04-03 13:59:30,1990-04-03 14:00:00,25,199004,199006,199007,199008,199010,199012,199102
1990-04-04,O,1990-04-04 09:30:00,1990-04-04 14:05:00,1990-04-04 13:59:30,1990-04-04 14:00:00,24,199004,199006,199007,199008,199010,199012,199102
1990-04-05,O,1990-04-05 09:30:00,1990-04-05 14:05:00,1990-04-05 13:59:30,1990-04-05 14:00:00,23,199004,199006,199007,199008,199010,199012,199102
1990-04-06,O,1990-04-06 09:30:00,1990-04-06 14:05:00,1990-04-06 13:59:30,1990-04-06 14:00:00,22,199004,199006,199007,199008,199010,199012,199102
1990-04-09,O,1990-04-09 09:30:00,1990-04-09 14:05:00,1990-04-09 13:59:30,1990-04-09 14:00:00,21,199004,199006,199007,199008,199010,199012,199102
1990-04-10,O,1990-04-10 09:30:00,1990-04-10 14:05:00,1990-04-10 13:59:30,1990-04-10 14:00:00,20,199004,199006,199007,199008,199010,199012,199102
1990-04-11,O,1990-04-11 09:30:00,1990-04-11 14:05:00,1990-04-11 13:59:30,1990-04-11 14:00:00,19,199004,199006,199007,199008,199010,199012,199102
1990-04-12,O,1990-04-12 09:30:00,1990-04-12 14:05:00,1990-04-12 13:59:30,1990-04-12 14:00:00,18,199004,199006,199007,199008,199010,199012,199102
1990-04-13,X,,,,,,,,,,,,
1990-04-16,O,1990-04-16 09:30:00,1990-04-16 14:05:00,1990-04-16 13:59:30,1990-04-16 14:00:00,17,199004,199006,199007,199008,199010,199012,199102
1990-04-17,O,1990-04-17 09:30:00,1990-04-17 14:05:00,1990-04-17 13:59:30,1990-04-17 14:00:00,16,199004,199006,199007,199008,199010,199012,199102
1990-04-18,O,1990-04-18 09:30:00,1990-04-18 14:05:00,1990-04-18 13:59:30,1990-04-18 14:00:00,15,199004,199006,199007,199008,199010,199012,199102
1990-04-19,O,1990-04-19 09:30:00,1990-04-19 14:05:00,1990-04-19 13:59:30,1990-04-19 14:00:00,14,199004,199006,199007,199008,199010,199012,199102
1990-04-20,O,1990-04-20 09:30:00,1990-04-20 14:05:00,1990-04-20 13:59:30,1990-04-20 14:00:00,13,199004,199006,199007,199008,199010,199012,199102
1990-04-23,O,1990-04-23 09:30:00,1990-04-23 14:05:00,1990-04-23 13:59:30,1990-04-23 14:00:00,12,,199006,199007,199008,199010,199012,199102
1990-04-24,O,1990-04-24 09:30:00,1990-04-24 14:05:00,1990-04-24 13:59:30,1990-04-24 14:00:00,11,,199006,199007,199008,199010,199012,199102
1990-04-25,O,1990-04-25 09:30:00,1990-04-25 14:05:00,1990-04-25 13:59:30,1990-04-25 14:00:00,10,,199006,199007,199008,199010,199012,199102
1990-04-26,O,1990-04-26 09:30:00,1990-04-26 14:05:00,1990-04-26 13:59:30,1990-04-26 14:00:00,9,,199006,199007,199008,199010,199012,199102
1990-04-27,O,1990-04-27 09:30:00,1990-04-27 14:05:00,1990-04-27 13:59:30,1990-04-27 14:00:00,8,,199006,199007,199008,199010,199012,199102
1990-04-30,O,1990-04-30 09:30:00,1990-04-30 14:05:00,1990-04-30 13:59:30,1990-04-30 14:00:00,7,,199006,199007,199008,199010,199012,199102
1990-05-01,O,1990-05-01 09:30:00,1990-05-01 14:05:00,1990-05-01 13:59:30,1990-05-01 14:00:00,6,,199006,199007,199008,199010,199012,199102
1990-05-02,O,1990-05-02 09:30:00,1990-05-02 14:05:00,1990-05-02 13:59:30,1990-05-02 14:00:00,5,,199006,199007,199008,199010,199012,199102
1990-05-03,O,1990-05-03 09:30:00,1990-05-03 14:05:00,1990-05-03 13:59:30,1990-05-03 14:00:00,4,,199006,199007,199008,199010,199012,199102
1990-05-04,O,1990-05-04 09:30:00,1990-05-04 14:05:00,1990-05-04 13:59:30,1990-05-04 14:00:00,3,,199006,199007,199008,199010,199012,199102
1990-05-07,O,1990-05-07 09:30:00,1990-05-07 14:05:00,1990-05-07 13:59:30,1990-05-07 14:00:00,2,,199006,199007,199008,199010,199012,199102
1990-05-08,O,1990-05-08 09:30:00,1990-05-08 14:05:00,1990-05-08 13:59:30,1990-05-08 14:00:00,1,,199006,199007,199008,199010,199012,199102
1990-05-09,O,1990-05-09 09:30:00,1990-05-09 14:05:00,1990-05-09 13:59:30,1990-05-09 14:00:00,0,,199006,199007,199008,199010,199012,199102
1990-05-10,O,1990-05-10 09:30:00,1990-05-10 14:05:00,1990-05-10 13:59:30,1990-05-10 14:00:00,20,199006,199007,199008,199010,199012,199102,199104
1990-05-11,O,1990-05-11 09:30:00,1990-05-11 14:05:00,1990-05-11 13:59:30,1990-05-11 14:00:00,19,199006,199007,199008,199010,199012,199102,199104
1990-05-14,O,1990-05-14 09:30:00,1990-05-14 14:05:00,1990-05-14 13:59:30,1990-05-14 14:00:00,18,199006,199007,199008,199010,199012,199102,199104
1990-05-15,O,1990-05-15 09:30:00,1990-05-15 14:05:00,1990-05-15 13:59:30,1990-05-15 14:00:00,17,199006,199007,199008,199010,199012,199102,199104
1990-05-16,O,1990-05-16 09:30:00,1990-05-16 14:05:00,1990-05-16 13:59:30,1990-05-16 14:00:00,16,199006,199007,199008,199010,199012,199102,199104
1990-05-17,O,1990-05-17 09:30:00,1990-05-17 14:05:00,1990-05-17 13:59:30,1990-05-17 14:00:00,15,199006,199007,199008,199010,199012,199102,199104
1990-05-18,O,1990-05-18 09:30:00,1990-05-18 14:05:00,1990-05-18 13:59:30,1990-05-18 14:00:00,14,199006,199007,199008,199010,199012,199102,199104
1990-05-21,O,1990-05-21 09:30:00,1990-05-21 14:05:00,1990-05-21 13:59:30,1990-05-21 14:00:00,13,199006,199007,199008,199010,199012,199102,199104
1990-05-22,O,1990-05-22 09:30:00,1990-05-22 14:05:00,1990-05-22 13:59:30,1990-05-22 14:00:00,12,199006,199007,199008,199010,199012,199102,199104
1990-05-23,O,1990-05-23 09:30:00,1990-05-23 14:05:00,1990-05-23 13:59:30,1990-05-23 14:00:00,11,199006,199007,199008,199010,199012,199102,199104
1990-05-24,O,1990-05-24 09:30:00,1990-05-24 14:05:00,1990-05-24 13:59:30,1990-05-24 14:00:00,10,199006,199007,199008,199010,199012,199102,199104
1990-05-25,O,1990-05-25 09:30:00,1990-05-25 14:05:00,1990-05-25 13:59:30,1990-05-25 14:00:00,9,199006,199007,199008,199010,199012,199102,199104
1990-05-28,X,,,,,,,,,,,,
1990-05-29,O,1990-05-29 09:30:00,1990-05-29 14:05:00,1990-05-29 13:59:30,1990-05-29 14:00:00,8,199006,199007,199008,199010,199012,199102,199104
1990-05-30,O,1990-05-30 09:30:00,1990-05-30 14:05:00,1990-05-30 13:59:30,1990-05-30 14:00:00,7,199006,199007,199008,199010,199012,199102,199104
1990-05-31,O,1990-05-31 09:30:00,1990-05-31 14:05:00,1990-05-31 13:59:30,1990-05-31 14:00:00,6,199006,199007,199008,199010,199012,199102,199104
1990-06-01,O,1990-06-01 09:30:00,1990-06-01 14:05:00,1990-06-01 13:59:30,1990-06-01 14:00:00,5,199006,199007,199008,199010,199012,199102,199104
1990-06-04,O,1990-06-04 09:30:00,1990-06-04 14:05:00,1990-06-04 13:59:30,1990-06-04 14:00:00,4,199006,199007,199008,199010,199012,199102,199104
1990-06-05,O,1990-06-05 09:30:00,1990-06-05 14:05:00,1990-06-05 13:59:30,1990-06-05 14:00:00,3,199006,199007,199008,199010,199012,199102,199104
1990-06-06,O,1990-06-06 09:30:00,1990-06-06 14:05:00,1990-06-06 13:59:30,1990-06-06 14:00:00,2,199006,199007,199008,199010,199012,199102,199104
1990-06-07,O,1990-06-07 09:30:00,1990-06-07 14:05:00,1990-06-07 13:59:30,1990-06-07 14:00:00,1,199006,199007,199008,199010,199012,199102,199104
1990-06-08,O,1990-06-08 09:30:00,1990-06-08 14:05:00,1990-06-08 13:59:30,1990-06-08 14:00:00,0,199006,199007,199008,199010,199012,199102,199104
1990-06-11,O,1990-06-11 09:30:00,1990-06-11 14:05:00,1990-06-11 13:59:30,1990-06-11 14:00:00,20,199007,199008,199010,199012,199102,199104,199106
1990-06-12,O,1990-06-12 09:30:00,1990-06-12 14:05:00,1990-06-12 13:59:30,1990-06-12 14:00:00,19,199007,199008,199010,199012,199102,199104,199106
1990-06-13,O,1990-06-13 09:30:00,1990-06-13 14:05:00,1990-06-13 13:59:30,1990-06-13 14:00:00,18,199007,199008,199010,199012,199102,199104,199106
1990-06-14,O,1990-06-14 09:30:00,1990-06-14 14:05:00,1990-06-14 13:59:30,1990-06-14 14:00:00,17,199007,199008,199010,199012,199102,199104,199106
1990-06-15,O,1990-06-15 09:30:00,1990-06-15 14:05:00,1990-06-15 13:59:30,1990-06-15 14:00:00,16,199007,199008,199010,199012,199102,199104,199106
1990-06-18,O,1990-06-18 09:30:00,1990-06-18 14:05:00,1990-06-18 13:59:30,1990-06-18 14:00:00,15,199007,199008,199010,199012,199102,199104,199106
1990-06-19,O,1990-06-19 09:30:00,1990-06-19 14:05:00,1990-06-19 13:59:30,1990-06-19 14:00:00,14,199007,199008,199010,199012,199102,199104,199106
1990-06-20,O,1990-06-20 09:30:00,1990-06-20 14:05:00,1990-06-20 13:59:30,1990-06-20 14:00:00,13,199007,199008,199010,199012,199102,199104,199106
1990-06-21,O,1990-06-21 09:30:00,1990-06-21 14:05:00,1990-06-21 13:59:30,1990-06-21 14:00:00,12,199007,199008,199010,199012,199102,199104,199106
1990-06-22,O,1990-06-22 09:30:00,1990-06-22 14:05:00,1990-06-22 13:59:30,1990-06-22 14:00:00,11,199007,199008,199010,199012,199102,199104,199106
1990-06-25,O,1990-06-25 09:30:00,1990-06-25 14:05:00,1990-06-25 13:59:30,1990-06-25 14:00:00,10,199007,199008,199010,199012,199102,199104,199106
1990-06-26,O,1990-06-26 09:30:00,1990-06-26 14:05:00,1990-06-26 13:59:30,1990-06-26 14:00:00,9,199007,199008,199010,199012,199102,199104,199106
1990-06-27,O,1990-06-27 09:30:00,1990-06-27 14:05:00,1990-06-27 13:59:30,1990-06-27 14:00:00,8,199007,199008,199010,199012,199102,199104,199106
1990-06-28,O,1990-06-28 09:30:00,1990-06-28 14:05:00,1990-06-28 13:59:30,1990-06-28 14:00:00,7,199007,199008,199010,199012,199102,199104,199106
1990-06-29,O,1990-06-29 09:30:00,1990-06-29 14:05:00,1990-06-29 13:59:30,1990-06-29 14:00:00,6,199007,199008,199010,199012,199102,199104,199106
1990-07-02,O,1990-07-02 09:30:00,1990-07-02 14:05:00,1990-07-02 13:59:30,1990-07-02 14:00:00,5,199007,199008,199010,199012,199102,199104,199106
1990-07-03,O,1990-07-03 09:30:00,1990-07-03 14:05:00,1990-07-03 13:59:30,1990-07-03 14:00:00,4,199007,199008,199010,199012,199102,199104,199106
1990-07-04,X,,,,,,,,,,,,
1990-07-05,O,1990-07-05 09:30:00,1990-07-05 14:05:00,1990-07-05 13:59:30,1990-07-05 14:00:00,3,199007,199008,199010,199012,199102,199104,199106
1990-07-06,O,1990-07-06 09:30:00,1990-07-06 14:05:00,1990-07-06 13:59:30,1990-07-06 14:00:00,2,199007,199008,199010,199012,199102,199104,199106
1990-07-09,O,1990-07-09 09:30:00,1990-07-09 14:05:00,1990-07-09 13:59:30,1990-07-09 14:00:00,1,199007,199008,199010,199012,199102,199104,199106
1990-07-10,O,1990-07-10 09:30:00,1990-07-10 14:05:00,1990-07-10 13:59:30,1990-07-10 14:00:00,0,199007,199008,199010,199012,199102,199104,199106
1990-07-11,O,1990-07-11 09:30:00,1990-07-11 14:05:00,1990-07-11 13:59:30,1990-07-11 14:00:00,41,199008,199010,199012,199102,199104,199106,199107
1990-07-12,O,1990-07-12 09:30:00,1990-07-12 14:05:00,1990-07-12 13:59:30,1990-07-12 14:00:00,40,199008,199010,199012,199102,199104,199106,199107
1990-07-13,O,1990-07-13 09:30:00,1990-07-13 14:05:00,1990-07-13 13:59:30,1990-07-13 14:00:00,39,199008,199010,199012,199102,199104,199106,199107
1990-07-16,O,1990-07-16 09:30:00,1990-07-16 14:05:00,1990-07-16 13:59:30,1990-07-16 14:00:00,38,199008,199010,199012,199102,199104,199106,199107
1990-07-17,O,1990-07-17 09:30:00,1990-07-17 14:05:00,1990-07-17 13:59:30,1990-07-17 14:00:00,37,199008,199010,199012,199102,199104,199106,199107
1990-07-18,O,1990-07-18 09:30:00,1990-07-18 14:05:00,1990-07-18 13:59:30,1990-07-18 14:00:00,36,199008,199010,199012,199102,199104,199106,199107
1990-07-19,O,1990-07-19 09:30:00,1990-07-19 14:05:00,1990-07-19 13:59:30,1990-07-19 14:00:00,35,199008,199010,199012,199102,199104,199106,199107
1990-07-20,O,1990-07-20 09:30:00,1990-07-20 14:05:00,1990-07-20 13:59:30,1990-07-20 14:00:00,34,199008,199010,199012,199102,199104,199106,199107
1990-07-23,O,1990-07-23 09:30:00,1990-07-23 14:05:00,1990-07-23 13:59:30,1990-07-23 14:00:00,33,199008,199010,199012,199102,199104,199106,199107
1990-07-24,O,1990-07-24 09:30:00,1990-07-24 14:05:00,1990-07-24 13:59:30,1990-07-24 14:00:00,32,199008,199010,199012,199102,199104,199106,199107
1990-07-25,O,1990-07-25 09:30:00,1990-07-25 14:05:00,1990-07-25 13:59:30,1990-07-25 14:00:00,31,199008,199010,199012,199102,199104,199106,199107
1990-07-26,O,1990-07-26 09:30:00,1990-07-26 14:05:00,1990-07-26 13:59:30,1990-07-26 14:00:00,30,199008,199010,199012,199102,199104,199106,199107
1990-07-27,O,1990-07-27 09:30:00,1990-07-27 14:05:00,1990-07-27 13:59:30,1990-07-27 14:00:00,29,199008,199010,199012,199102,199104,199106,199107
1990-07-30,O,1990-07-30 09:30:00,1990-07-30 14:05:00,1990-07-30 13:59:30,1990-07-30 14:00:00,28,199008,199010,199012,199102,199104,199106,199107
1990-07-31,O,1990-07-31 09:30:00,1990-07-31 14:05:00,1990-07-31 13:59:30,1990-07-31 14:00:00,27,199008,199010,199012,199102,199104,199106,199107
1990-08-01,O,1990-08-01 09:30:00,1990-08-01 14:05:00,1990-08-01 13:59:30,1990-08-01 14:00:00,26,199008,199010,199012,199102,199104,199106,199107
1990-08-02,O,1990-08-02 09:30:00,1990-08-02 14:05:00,1990-08-02 13:59:30,1990-08-02 14:00:00,25,199008,199010,199012,199102,199104,199106,199107
1990-08-03,O,1990-08-03 09:30:00,1990-08-03 14:05:00,1990-08-03 13:59:30,1990-08-03 14:00:00,24,199008,199010,199012,199102,199104,199106,199107
1990-08-06,O,1990-08-06 09:30:00,1990-08-06 14:05:00,1990-08-06 13:59:30,1990-08-06 14:00:00,23,199008,199010,199012,199102,199104,199106,199107
1990-08-07,O,1990-08-07 09:30:00,1990-08-07 14:05:00,1990-08-07 13:59:30,1990-08-07 14:00:00,22,199008,199010,199012,199102,199104,199106,199107
1990-08-08,O,1990-08-08 09:30:00,1990-08-08 14:05:00,1990-08-08 13:59:30,1990-08-08 14:00:00,21,199008,199010,199012,199102,199104,199106,199107
1990-08-09,O,1990-08-09 09:30:00,1990-08-09 14:05:00,1990-08-09 13:59:30,1990-08-09 14:00:00,20,199008,199010,199012,199102,199104,199106,199107
1990-08-10,O,1990-08-10 09:30:00,1990-08-10 14:05:00,1990-08-10 13:59:30,1990-08-10 14:00:00,19,199008,199010,199012,199102,199104,199106,199107
1990-08-13,O,1990-08-13 09:30:00,1990-08-13 14:05:00,1990-08-13 13:59:30,1990-08-13 14:00:00,18,199008,199010,199012,199102,199104,199106,199107
1990-08-14,O,1990-08-14 09:30:00,1990-08-14 14:05:00,1990-08-14 13:59:30,1990-08-14 14:00:00,17,199008,199010,199012,199102,199104,199106,199107
1990-08-15,O,1990-08-15 09:30:00,1990-08-15 14:05:00,1990-08-15 13:59:30,1990-08-15 14:00:00,16,199008,199010,199012,199102,199104,199106,199107
1990-08-16,O,1990-08-16 09:30:00,1990-08-16 14:05:00,1990-08-16 13:59:30,1990-08-16 14:00:00,15,199008,199010,199012,199102,199104,199106,199107
1990-08-17,O,1990-08-17 09:30:00,1990-08-17 14:05:00,1990-08-17 13:59:30,1990-08-17 14:00:00,14,199008,199010,199012,199102,199104,199106,199107
1990-08-20,O,1990-08-20 09:30:00,1990-08-20 14:05:00,1990-08-20 13:59:30,1990-08-20 14:00:00,13,199008,199010,199012,199102,199104,199106,199107
1990-08-21,O,1990-08-21 09:30:00,1990-08-21 14:05:00,1990-08-21 13:59:30,1990-08-21 14:00:00,12,,199010,199012,199102,199104,199106,199107
1990-08-22,O,1990-08-22 09:30:00,1990-08-22 14:05:00,1990-08-22 13:59:30,1990-08-22 14:00:00,11,,199010,199012,199102,199104,199106,199107
