date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,RobustaCoffee_N0,RobustaCoffee_N1,RobustaCoffee_N2,RobustaCoffee_N3,RobustaCoffee_N4,RobustaCoffee_N5,RobustaCoffee_N6
1991-10-07,O,1991-10-07 04:00:00,1991-10-07 12:30:00,1991-10-07 12:23:00,1991-10-07 12:25:00,4379,,,,,,,
1991-10-08,O,1991-10-08 04:00:00,1991-10-08 12:30:00,1991-10-08 12:23:00,1991-10-08 12:25:00,4378,,,,,,,
1991-10-09,O,1991-10-09 04:00:00,1991-10-09 12:30:00,1991-10-09 12:23:00,1991-10-09 12:25:00,4377,,,,,,,
1991-10-10,O,1991-10-10 04:00:00,1991-10-10 12:30:00,1991-10-10 12:23:00,1991-10-10 12:25:00,4376,,,,,,,
1991-10-11,O,1991-10-11 04:00:00,1991-10-11 12:30:00,1991-10-11 12:23:00,1991-10-11 12:25:00,4375,,,,,,,
1991-10-14,O,1991-10-14 04:00:00,1991-10-14 12:30:00,1991-10-14 12:23:00,1991-10-14 12:25:00,4374,,,,,,,
1991-10-15,O,1991-10-15 04:00:00,1991-10-15 12:30:00,1991-10-15 12:23:00,1991-10-15 12:25:00,4373,,,,,,,
1991-10-16,O,1991-10-16 04:00:00,1991-10-16 12:30:00,1991-10-16 12:23:00,1991-10-16 12:25:00,4372,,,,,,,
1991-10-17,O,1991-10-17 04:00:00,1991-10-17 12:30:00,1991-10-17 12:23:00,1991-10-17 12:25:00,4371,,,,,,,
1991-10-18,O,1991-10-18 04:00:00,1991-10-18 12:30:00,1991-10-18 12:23:00,1991-10-18 12:25:00,4370,,,,,,,
1991-10-21,O,1991-10-21 04:00:00,1991-10-21 12:30:00,1991-10-21 12:23:00,1991-10-21 12:25:00,4369,,,,,,,
1991-10-22,O,1991-10-22 04:00:00,1991-10-22 12:30:00,1991-10-22 12:23:00,1991-10-22 12:25:00,4368,,,,,,,
1991-10-23,O,1991-10-23 04:00:00,1991-10-23 12:30:00,1991-10-23 12:23:00,1991-10-23 12:25:00,4367,,,,,,,
1991-10-24,O,1991-10-24 04:00:00,1991-10-24 12:30:00,1991-10-24 12:23:00,1991-10-24 12:25:00,4366,,,,,,,
1991-10-25,O,1991-10-25 04:00:00,1991-10-25 12:30:00,1991-10-25 12:23:00,1991-10-25 12:25:00,4365,,,,,,,
1991-10-28,O,1991-10-28 04:00:00,1991-10-28 12:30:00,1991-10-28 12:23:00,1991-10-28 12:25:00,4364,,,,,,,
1991-10-29,O,1991-10-29 04:00:00,1991-10-29 12:30:00,1991-10-29 12:23:00,1991-10-29 12:25:00,4363,,,,,,,
1991-10-30,O,1991-10-30 04:00:00,1991-10-30 12:30:00,1991-10-30 12:23:00,1991-10-30 12:25:00,4362,,,,,,,
1991-10-31,O,1991-10-31 04:00:00,1991-10-31 12:30:00,1991-10-31 12:23:00,1991-10-31 12:25:00,4361,,,,,,,
1991-11-01,O,1991-11-01 04:00:00,1991-11-01 12:30:00,1991-11-01 12:23:00,1991-11-01 12:25:00,4360,,,,,,,
1991-11-04,O,1991-11-04 04:00:00,1991-11-04 12:30:00,1991-11-04 12:23:00,1991-11-04 12:25:00,4359,,,,,,,
1991-11-05,O,1991-11-05 04:00:00,1991-11-05 12:30:00,1991-11-05 12:23:00,1991-11-05 12:25:00,4358,,,,,,,
1991-11-06,O,1991-11-06 04:00:00,1991-11-06 12:30:00,1991-11-06 12:23:00,1991-11-06 12:25:00,4357,,,,,,,
1991-11-07,O,1991-11-07 04:00:00,1991-11-07 12:30:00,1991-11-07 12:23:00,1991-11-07 12:25:00,4356,,,,,,,
1991-11-08,O,1991-11-08 04:00:00,1991-11-08 12:30:00,1991-11-08 12:23:00,1991-11-08 12:25:00,4355,,,,,,,
1991-11-11,O,1991-11-11 04:00:00,1991-11-11 12:30:00,1991-11-11 12:23:00,1991-11-11 12:25:00,4354,,,,,,,
1991-11-12,O,1991-11-12 04:00:00,1991-11-12 12:30:00,1991-11-12 12:23:00,1991-11-12 12:25:00,4353,,,,,,,
1991-11-13,O,1991-11-13 04:00:00,1991-11-13 12:30:00,1991-11-13 12:23:00,1991-11-13 12:25:00,4352,,,,,,,
1991-11-14,O,1991-11-14 04:00:00,1991-11-14 12:30:00,1991-11-14 12:23:00,1991-11-14 12:25:00,4351,,,,,,,
1991-11-15,O,1991-11-15 04:00:00,1991-11-15 12:30:00,1991-11-15 12:23:00,1991-11-15 12:25:00,4350,,,,,,,
1991-11-18,O,1991-11-18 04:00:00,1991-11-18 12:30:00,1991-11-18 12:23:00,1991-11-18 12:25:00,4349,,,,,,,
1991-11-19,O,1991-11-19 04:00:00,1991-11-19 12:30:00,1991-11-19 12:23:00,1991-11-19 12:25:00,4348,,,,,,,
1991-11-20,O,1991-11-20 04:00:00,1991-11-20 12:30:00,1991-11-20 12:23:00,1991-11-20 12:25:00,4347,,,,,,,
1991-11-21,O,1991-11-21 04:00:00,1991-11-21 12:30:00,1991-11-21 12:23:00,1991-11-21 12:25:00,4346,,,,,,,
1991-11-22,O,1991-11-22 04:00:00,1991-11-22 12:30:00,1991-11-22 12:23:00,1991-11-22 12:25:00,4345,,,,,,,
1991-11-25,O,1991-11-25 04:00:00,1991-11-25 12:30:00,1991-11-25 12:23:00,1991-11-25 12:25:00,4344,,,,,,,
1991-11-26,O,1991-11-26 04:00:00,1991-11-26 12:30:00,1991-11-26 12:23:00,1991-11-26 12:25:00,4343,,,,,,,
1991-11-27,O,1991-11-27 04:00:00,1991-11-27 12:30:00,1991-11-27 12:23:00,1991-11-27 12:25:00,4342,,,,,,,
1991-11-28,O,1991-11-28 04:00:00,1991-11-28 12:30:00,1991-11-28 12:23:00,1991-11-28 12:25:00,4341,,,,,,,
1991-11-29,O,1991-11-29 04:00:00,1991-11-29 12:30:00,1991-11-29 12:23:00,1991-11-29 12:25:00,4340,,,,,,,
1991-12-02,O,1991-12-02 04:00:00,1991-12-02 12:30:00,1991-12-02 12:23:00,1991-12-02 12:25:00,4339,,,,,,,
1991-12-03,O,1991-12-03 04:00:00,1991-12-03 12:30:00,1991-12-03 12:23:00,1991-12-03 12:25:00,4338,,,,,,,
1991-12-04,O,1991-12-04 04:00:00,1991-12-04 12:30:00,1991-12-04 12:23:00,1991-12-04 12:25:00,4337,,,,,,,
