date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SoybeanOil_N0,SoybeanOil_N1,SoybeanOil_N2,SoybeanOil_N3,SoybeanOil_N4,SoybeanOil_N5,SoybeanOil_N6
2011-06-22,O,2011-06-21 20:00:00,2011-06-22 14:20:00,2011-06-22 14:14:00,2011-06-22 14:15:00,1,,201107,201112,201201,201203,201205,201207
2011-06-23,O,2011-06-22 20:00:00,2011-06-23 14:20:00,2011-06-23 14:14:00,2011-06-23 14:15:00,0,,201107,201112,201201,201203,201205,201207
2011-06-24,O,2011-06-23 20:00:00,2011-06-24 14:20:00,2011-06-24 14:14:00,2011-06-24 14:15:00,105,201107,201112,201201,201203,201205,201207,201212
2011-06-27,O,2011-06-26 20:00:00,2011-06-27 14:20:00,2011-06-27 14:14:00,2011-06-27 14:15:00,104,201107,201112,201201,201203,201205,201207,201212
2011-06-28,O,2011-06-27 20:00:00,2011-06-28 14:20:00,2011-06-28 14:14:00,2011-06-28 14:15:00,103,201107,201112,201201,201203,201205,201207,201212
2011-06-29,O,2011-06-28 20:00:00,2011-06-29 14:20:00,2011-06-29 14:14:00,2011-06-29 14:15:00,102,201107,201112,201201,201203,201205,201207,201212
2011-06-30,O,2011-06-29 20:00:00,2011-06-30 14:20:00,2011-06-30 14:14:00,2011-06-30 14:15:00,101,201107,201112,201201,201203,201205,201207,201212
2011-07-01,O,2011-06-30 20:00:00,2011-07-01 14:20:00,2011-07-01 14:14:00,2011-07-01 14:15:00,100,201107,201112,201201,201203,201205,201207,201212
2011-07-04,X,,,,,,,,,,,,
2011-07-05,O,2011-07-04 20:00:00,2011-07-05 14:20:00,2011-07-05 14:14:00,2011-07-05 14:15:00,99,201107,201112,201201,201203,201205,201207,201212
2011-07-06,O,2011-07-05 20:00:00,2011-07-06 14:20:00,2011-07-06 14:14:00,2011-07-06 14:15:00,98,201107,201112,201201,201203,201205,201207,201212
2011-07-07,O,2011-07-06 20:00:00,2011-07-07 14:20:00,2011-07-07 14:14:00,2011-07-07 14:15:00,97,201107,201112,201201,201203,201205,201207,201212
2011-07-08,O,2011-07-07 20:00:00,2011-07-08 14:20:00,2011-07-08 14:14:00,2011-07-08 14:15:00,96,201107,201112,201201,201203,201205,201207,201212
2011-07-11,O,2011-07-10 20:00:00,2011-07-11 14:20:00,2011-07-11 14:14:00,2011-07-11 14:15:00,95,201107,201112,201201,201203,201205,201207,201212
2011-07-12,O,2011-07-11 20:00:00,2011-07-12 14:20:00,2011-07-12 14:14:00,2011-07-12 14:15:00,94,201107,201112,201201,201203,201205,201207,201212
2011-07-13,O,2011-07-12 20:00:00,2011-07-13 14:20:00,2011-07-13 14:14:00,2011-07-13 14:15:00,93,201107,201112,201201,201203,201205,201207,201212
2011-07-14,O,2011-07-13 20:00:00,2011-07-14 14:20:00,2011-07-14 14:14:00,2011-07-14 14:15:00,92,201107,201112,201201,201203,201205,201207,201212
2011-07-15,O,2011-07-14 20:00:00,2011-07-15 14:20:00,2011-07-15 14:14:00,2011-07-15 14:15:00,91,,201112,201201,201203,201205,201207,201212
2011-07-18,O,2011-07-17 20:00:00,2011-07-18 14:20:00,2011-07-18 14:14:00,2011-07-18 14:15:00,90,,201112,201201,201203,201205,201207,201212
2011-07-19,O,2011-07-18 20:00:00,2011-07-19 14:20:00,2011-07-19 14:14:00,2011-07-19 14:15:00,89,,201112,201201,201203,201205,201207,201212
2011-07-20,O,2011-07-19 20:00:00,2011-07-20 14:20:00,2011-07-20 14:14:00,2011-07-20 14:15:00,88,,201112,201201,201203,201205,201207,201212
2011-07-21,O,2011-07-20 20:00:00,2011-07-21 14:20:00,2011-07-21 14:14:00,2011-07-21 14:15:00,87,,201112,201201,201203,201205,201207,201212
2011-07-22,O,2011-07-21 20:00:00,2011-07-22 14:20:00,2011-07-22 14:14:00,2011-07-22 14:15:00,86,,201112,201201,201203,201205,201207,201212
2011-07-25,O,2011-07-24 20:00:00,2011-07-25 14:20:00,2011-07-25 14:14:00,2011-07-25 14:15:00,85,,201112,201201,201203,201205,201207,201212
2011-07-26,O,2011-07-25 20:00:00,2011-07-26 14:20:00,2011-07-26 14:14:00,2011-07-26 14:15:00,84,,201112,201201,201203,201205,201207,201212
2011-07-27,O,2011-07-26 20:00:00,2011-07-27 14:20:00,2011-07-27 14:14:00,2011-07-27 14:15:00,83,,201112,201201,201203,201205,201207,201212
2011-07-28,O,2011-07-27 20:00:00,2011-07-28 14:20:00,2011-07-28 14:14:00,2011-07-28 14:15:00,82,,201112,201201,201203,201205,201207,201212
2011-07-29,O,2011-07-28 20:00:00,2011-07-29 14:20:00,2011-07-29 14:14:00,2011-07-29 14:15:00,81,,201112,201201,201203,201205,201207,201212
2011-08-01,O,2011-07-31 20:00:00,2011-08-01 14:20:00,2011-08-01 14:14:00,2011-08-01 14:15:00,80,,201112,201201,201203,201205,201207,201212
2011-08-02,O,2011-08-01 20:00:00,2011-08-02 14:20:00,2011-08-02 14:14:00,2011-08-02 14:15:00,79,,201112,201201,201203,201205,201207,201212
2011-08-03,O,2011-08-02 20:00:00,2011-08-03 14:20:00,2011-08-03 14:14:00,2011-08-03 14:15:00,78,,201112,201201,201203,201205,201207,201212
2011-08-04,O,2011-08-03 20:00:00,2011-08-04 14:20:00,2011-08-04 14:14:00,2011-08-04 14:15:00,77,,201112,201201,201203,201205,201207,201212
2011-08-05,O,2011-08-04 20:00:00,2011-08-05 14:20:00,2011-08-05 14:14:00,2011-08-05 14:15:00,76,,201112,201201,201203,201205,201207,201212
2011-08-08,O,2011-08-07 20:00:00,2011-08-08 14:20:00,2011-08-08 14:14:00,2011-08-08 14:15:00,75,,201112,201201,201203,201205,201207,201212
2011-08-09,O,2011-08-08 20:00:00,2011-08-09 14:20:00,2011-08-09 14:14:00,2011-08-09 14:15:00,74,,201112,201201,201203,201205,201207,201212
2011-08-10,O,2011-08-09 20:00:00,2011-08-10 14:20:00,2011-08-10 14:14:00,2011-08-10 14:15:00,73,,201112,201201,201203,201205,201207,201212
2011-08-11,O,2011-08-10 20:00:00,2011-08-11 14:20:00,2011-08-11 14:14:00,2011-08-11 14:15:00,72,,201112,201201,201203,201205,201207,201212
2011-08-12,O,2011-08-11 20:00:00,2011-08-12 14:20:00,2011-08-12 14:14:00,2011-08-12 14:15:00,71,,201112,201201,201203,201205,201207,201212
2011-08-15,O,2011-08-14 20:00:00,2011-08-15 14:20:00,2011-08-15 14:14:00,2011-08-15 14:15:00,70,,201112,201201,201203,201205,201207,201212
2011-08-16,O,2011-08-15 20:00:00,2011-08-16 14:20:00,2011-08-16 14:14:00,2011-08-16 14:15:00,69,,201112,201201,201203,201205,201207,201212
2011-08-17,O,2011-08-16 20:00:00,2011-08-17 14:20:00,2011-08-17 14:14:00,2011-08-17 14:15:00,68,,201112,201201,201203,201205,201207,201212
2011-08-18,O,2011-08-17 20:00:00,2011-08-18 14:20:00,2011-08-18 14:14:00,2011-08-18 14:15:00,67,,201112,201201,201203,201205,201207,201212
2011-08-19,O,2011-08-18 20:00:00,2011-08-19 14:20:00,2011-08-19 14:14:00,2011-08-19 14:15:00,66,,201112,201201,201203,201205,201207,201212
2011-08-22,O,2011-08-21 20:00:00,2011-08-22 14:20:00,2011-08-22 14:14:00,2011-08-22 14:15:00,65,,201112,201201,201203,201205,201207,201212
2011-08-23,O,2011-08-22 20:00:00,2011-08-23 14:20:00,2011-08-23 14:14:00,2011-08-23 14:15:00,64,,201112,201201,201203,201205,201207,201212
2011-08-24,O,2011-08-23 20:00:00,2011-08-24 14:20:00,2011-08-24 14:14:00,2011-08-24 14:15:00,63,,201112,201201,201203,201205,201207,201212
2011-08-25,O,2011-08-24 20:00:00,2011-08-25 14:20:00,2011-08-25 14:14:00,2011-08-25 14:15:00,62,,201112,201201,201203,201205,201207,201212
2011-08-26,O,2011-08-25 20:00:00,2011-08-26 14:20:00,2011-08-26 14:14:00,2011-08-26 14:15:00,61,,201112,201201,201203,201205,201207,201212
2011-08-29,O,2011-08-28 20:00:00,2011-08-29 14:20:00,2011-08-29 14:14:00,2011-08-29 14:15:00,60,,201112,201201,201203,201205,201207,201212
2011-08-30,O,2011-08-29 20:00:00,2011-08-30 14:20:00,2011-08-30 14:14:00,2011-08-30 14:15:00,59,,201112,201201,201203,201205,201207,201212
2011-08-31,O,2011-08-30 20:00:00,2011-08-31 14:20:00,2011-08-31 14:14:00,2011-08-31 14:15:00,58,,201112,201201,201203,201205,201207,201212
2011-09-01,O,2011-08-31 20:00:00,2011-09-01 14:20:00,2011-09-01 14:14:00,2011-09-01 14:15:00,57,,201112,201201,201203,201205,201207,201212
2011-09-02,O,2011-09-01 20:00:00,2011-09-02 14:20:00,2011-09-02 14:14:00,2011-09-02 14:15:00,56,,201112,201201,201203,201205,201207,201212
2011-09-05,X,,,,,,,,,,,,
2011-09-06,O,2011-09-05 20:00:00,2011-09-06 14:20:00,2011-09-06 14:14:00,2011-09-06 14:15:00,55,,201112,201201,201203,201205,201207,201212
2011-09-07,O,2011-09-06 20:00:00,2011-09-07 14:20:00,2011-09-07 14:14:00,2011-09-07 14:15:00,54,,201112,201201,201203,201205,201207,201212
2011-09-08,O,2011-09-07 20:00:00,2011-09-08 14:20:00,2011-09-08 14:14:00,2011-09-08 14:15:00,53,,201112,201201,201203,201205,201207,201212
2011-09-09,O,2011-09-08 20:00:00,2011-09-09 14:20:00,2011-09-09 14:14:00,2011-09-09 14:15:00,52,,201112,201201,201203,201205,201207,201212
2011-09-12,O,2011-09-11 20:00:00,2011-09-12 14:20:00,2011-09-12 14:14:00,2011-09-12 14:15:00,51,,201112,201201,201203,201205,201207,201212
2011-09-13,O,2011-09-12 20:00:00,2011-09-13 14:20:00,2011-09-13 14:14:00,2011-09-13 14:15:00,50,,201112,201201,201203,201205,201207,201212
2011-09-14,O,2011-09-13 20:00:00,2011-09-14 14:20:00,2011-09-14 14:14:00,2011-09-14 14:15:00,49,,201112,201201,201203,201205,201207,201212
2011-09-15,O,2011-09-14 20:00:00,2011-09-15 14:20:00,2011-09-15 14:14:00,2011-09-15 14:15:00,48,,201112,201201,201203,201205,201207,201212
2011-09-16,O,2011-09-15 20:00:00,2011-09-16 14:20:00,2011-09-16 14:14:00,2011-09-16 14:15:00,47,,201112,201201,201203,201205,201207,201212
2011-09-19,O,2011-09-18 20:00:00,2011-09-19 14:20:00,2011-09-19 14:14:00,2011-09-19 14:15:00,46,,201112,201201,201203,201205,201207,201212
2011-09-20,O,2011-09-19 20:00:00,2011-09-20 14:20:00,2011-09-20 14:14:00,2011-09-20 14:15:00,45,,201112,201201,201203,201205,201207,201212
2011-09-21,O,2011-09-20 20:00:00,2011-09-21 14:20:00,2011-09-21 14:14:00,2011-09-21 14:15:00,44,,201112,201201,201203,201205,201207,201212
2011-09-22,O,2011-09-21 20:00:00,2011-09-22 14:20:00,2011-09-22 14:14:00,2011-09-22 14:15:00,43,,201112,201201,201203,201205,201207,201212
2011-09-23,O,2011-09-22 20:00:00,2011-09-23 14:20:00,2011-09-23 14:14:00,2011-09-23 14:15:00,42,,201112,201201,201203,201205,201207,201212
2011-09-26,O,2011-09-25 20:00:00,2011-09-26 14:20:00,2011-09-26 14:14:00,2011-09-26 14:15:00,41,,201112,201201,201203,201205,201207,201212
2011-09-27,O,2011-09-26 20:00:00,2011-09-27 14:20:00,2011-09-27 14:14:00,2011-09-27 14:15:00,40,,201112,201201,201203,201205,201207,201212
2011-09-28,O,2011-09-27 20:00:00,2011-09-28 14:20:00,2011-09-28 14:14:00,2011-09-28 14:15:00,39,,201112,201201,201203,201205,201207,201212
2011-09-29,O,2011-09-28 20:00:00,2011-09-29 14:20:00,2011-09-29 14:14:00,2011-09-29 14:15:00,38,,201112,201201,201203,201205,201207,201212
2011-09-30,O,2011-09-29 20:00:00,2011-09-30 14:20:00,2011-09-30 14:14:00,2011-09-30 14:15:00,37,,201112,201201,201203,201205,201207,201212
2011-10-03,O,2011-10-02 20:00:00,2011-10-03 14:20:00,2011-10-03 14:14:00,2011-10-03 14:15:00,36,,201112,201201,201203,201205,201207,201212
2011-10-04,O,2011-10-03 20:00:00,2011-10-04 14:20:00,2011-10-04 14:14:00,2011-10-04 14:15:00,35,,201112,201201,201203,201205,201207,201212
2011-10-05,O,2011-10-04 20:00:00,2011-10-05 14:20:00,2011-10-05 14:14:00,2011-10-05 14:15:00,34,,201112,201201,201203,201205,201207,201212
2011-10-06,O,2011-10-05 20:00:00,2011-10-06 14:20:00,2011-10-06 14:14:00,2011-10-06 14:15:00,33,,201112,201201,201203,201205,201207,201212
2011-10-07,O,2011-10-06 20:00:00,2011-10-07 14:20:00,2011-10-07 14:14:00,2011-10-07 14:15:00,32,,201112,201201,201203,201205,201207,201212
2011-10-10,O,2011-10-09 20:00:00,2011-10-10 14:20:00,2011-10-10 14:14:00,2011-10-10 14:15:00,31,,201112,201201,201203,201205,201207,201212
2011-10-11,O,2011-10-10 20:00:00,2011-10-11 14:20:00,2011-10-11 14:14:00,2011-10-11 14:15:00,30,,201112,201201,201203,201205,201207,201212
2011-10-12,O,2011-10-11 20:00:00,2011-10-12 14:20:00,2011-10-12 14:14:00,2011-10-12 14:15:00,29,,201112,201201,201203,201205,201207,201212
2011-10-13,O,2011-10-12 20:00:00,2011-10-13 14:20:00,2011-10-13 14:14:00,2011-10-13 14:15:00,28,,201112,201201,201203,201205,201207,201212
2011-10-14,O,2011-10-13 20:00:00,2011-10-14 14:20:00,2011-10-14 14:14:00,2011-10-14 14:15:00,27,,201112,201201,201203,201205,201207,201212
2011-10-17,O,2011-10-16 20:00:00,2011-10-17 14:20:00,2011-10-17 14:14:00,2011-10-17 14:15:00,26,,201112,201201,201203,201205,201207,201212
2011-10-18,O,2011-10-17 20:00:00,2011-10-18 14:20:00,2011-10-18 14:14:00,2011-10-18 14:15:00,25,,201112,201201,201203,201205,201207,201212
2011-10-19,O,2011-10-18 20:00:00,2011-10-19 14:20:00,2011-10-19 14:14:00,2011-10-19 14:15:00,24,,201112,201201,201203,201205,201207,201212
2011-10-20,O,2011-10-19 20:00:00,2011-10-20 14:20:00,2011-10-20 14:14:00,2011-10-20 14:15:00,23,,201112,201201,201203,201205,201207,201212
2011-10-21,O,2011-10-20 20:00:00,2011-10-21 14:20:00,2011-10-21 14:14:00,2011-10-21 14:15:00,22,,201112,201201,201203,201205,201207,201212
2011-10-24,O,2011-10-23 20:00:00,2011-10-24 14:20:00,2011-10-24 14:14:00,2011-10-24 14:15:00,21,,201112,201201,201203,201205,201207,201212
2011-10-25,O,2011-10-24 20:00:00,2011-10-25 14:20:00,2011-10-25 14:14:00,2011-10-25 14:15:00,20,,201112,201201,201203,201205,201207,201212
2011-10-26,O,2011-10-25 20:00:00,2011-10-26 14:20:00,2011-10-26 14:14:00,2011-10-26 14:15:00,19,,201112,201201,201203,201205,201207,201212
2011-10-27,O,2011-10-26 20:00:00,2011-10-27 14:20:00,2011-10-27 14:14:00,2011-10-27 14:15:00,18,,201112,201201,201203,201205,201207,201212
2011-10-28,O,2011-10-27 20:00:00,2011-10-28 14:20:00,2011-10-28 14:14:00,2011-10-28 14:15:00,17,,201112,201201,201203,201205,201207,201212
2011-10-31,O,2011-10-30 20:00:00,2011-10-31 14:20:00,2011-10-31 14:14:00,2011-10-31 14:15:00,16,,201112,201201,201203,201205,201207,201212
2011-11-01,O,2011-10-31 20:00:00,2011-11-01 14:20:00,2011-11-01 14:14:00,2011-11-01 14:15:00,15,,201112,201201,201203,201205,201207,201212
2011-11-02,O,2011-11-01 20:00:00,2011-11-02 14:20:00,2011-11-02 14:14:00,2011-11-02 14:15:00,14,,201112,201201,201203,201205,201207,201212
2011-11-03,O,2011-11-02 20:00:00,2011-11-03 14:20:00,2011-11-03 14:14:00,2011-11-03 14:15:00,13,,201112,201201,201203,201205,201207,201212
2011-11-04,O,2011-11-03 20:00:00,2011-11-04 14:20:00,2011-11-04 14:14:00,2011-11-04 14:15:00,12,,201112,201201,201203,201205,201207,201212
2011-11-07,O,2011-11-06 20:00:00,2011-11-07 14:20:00,2011-11-07 14:14:00,2011-11-07 14:15:00,11,,201112,201201,201203,201205,201207,201212
2011-11-08,O,2011-11-07 20:00:00,2011-11-08 14:20:00,2011-11-08 14:14:00,2011-11-08 14:15:00,10,,201112,201201,201203,201205,201207,201212
2011-11-09,O,2011-11-08 20:00:00,2011-11-09 14:20:00,2011-11-09 14:14:00,2011-11-09 14:15:00,9,,201112,201201,201203,201205,201207,201212
2011-11-10,O,2011-11-09 20:00:00,2011-11-10 14:20:00,2011-11-10 14:14:00,2011-11-10 14:15:00,8,,201112,201201,201203,201205,201207,201212
